i,treat_shannon,control_shannon,type,qmd_MAE
243,2.068282466,2.905228442,1,0.612868102
244,1.486143469,2.863748856,1,1.023343162
245,0.786455275,2.832517421,1,0.549329493
246,0.924274818,2.802570837,1,0.678744051
247,1.135718979,2.788806299,1,0.649917333
248,1.698538907,2.894173316,1,0.630363539
249,1.2958503,2.775457493,1,0.540635839
250,1.32430144,2.783209791,1,0.439235169
251,1.912357239,2.88453617,1,3.182415851
252,1.080446329,2.849868797,1,0.880649762
253,3.056074483,2.980082494,0,0.55725419
254,1.631117254,2.783672506,1,0.935666804
255,2.410568813,2.868396997,1,0.498442156
256,2.829731652,2.806738579,0,0.443344602
257,1.813930274,2.813986848,1,0.680580063
258,1.201834081,2.758868057,1,0.954821286
259,2.411470212,2.699616411,1,0.611587873
260,1.393287774,2.827738202,1,0.827367918
261,2.840988936,2.684652634,0,0.687570833
262,1.889589958,2.791576914,1,2.295969643
263,0.926239597,3.007714357,1,1.677667236
264,2.146295183,2.792673084,1,0.746408815
265,2.490664257,2.779825592,1,0.609307439
266,1.656309393,2.830562609,1,0.556221926
267,2.994095574,2.353208051,0,0.762912333
268,1.603791842,2.78521067,1,0.699432209
269,1.851677563,2.767536706,1,0.712043078
270,1.175388182,2.792673754,1,0.582110734
271,0.875985229,2.780188109,1,1.125477012
272,1.643889697,2.790165061,1,0.619905347
273,2.697695914,2.74568607,1,0.689066663
274,2.693641836,2.813518385,1,0.49830935
275,1.984427874,2.926255693,1,0.738361416
276,2.749598578,2.671930661,0,0.636804985
277,1.609152628,2.860474215,1,0.793732856
278,2.178174499,2.78848436,1,0.641071591
279,1.45647728,2.954574827,1,0.862452596
280,1.577060287,2.785726099,1,0.701480091
281,1.541836753,2.92494616,1,1.10774135
282,1.069239232,2.802871111,1,0.655722737
283,1.562190053,2.877692342,1,0.682250743
284,2.043129667,2.770145803,1,0.565605794
285,1.32868227,2.920267294,1,0.742536902
286,0.730215994,2.863357772,1,0.618707186
287,2.305648667,2.811585537,1,0.692096428
288,1.795465336,2.783446518,1,0.821055107
289,1.013584392,2.696529459,1,0.635974453
290,1.611735046,2.896217627,1,0.630086923
291,1.986912759,2.729126957,1,0.727756056
292,1.307534674,2.834566148,1,2.223189597
293,1.192606478,2.718908526,1,0.614456889
294,1.406562335,2.8439633,1,1.211019862
295,1.101634788,2.761761725,1,0.658906915
296,2.489964937,2.727869257,1,0.83100196
297,1.574198852,2.74497748,1,0.658280865
298,1.145886192,2.839194285,1,0.528070274
299,1.274345533,2.845739893,1,0.691572499
300,2.151931134,2.857512182,1,0.763822898
301,2.461502819,2.765264518,1,0.627994685
302,2.815652953,2.707393778,0,0.534842566
303,0.807110405,2.852104344,1,0.894094656
304,1.900859985,3.092846429,1,0.684602995
305,1.960111996,2.907132683,1,0.783223919
306,1.382706945,2.747192739,1,0.762111646
307,0.701713381,2.817567766,1,0.731991162
308,0.649694499,3.079586423,1,0.72616448
309,1.5701444,2.784091061,1,0.677848223
310,1.986381907,2.685897997,1,0.612316107
311,2.427168051,2.787656021,1,0.685292685
312,1.712646027,2.894915609,1,1.205857223
313,1.020173061,2.764101793,1,0.659930313
314,1.808358655,2.773338606,1,0.826702355
315,2.060047257,2.936824407,1,0.6126175
316,2.681657002,2.861205136,1,0.487539564
317,1.737865461,2.894837032,1,1.03052591
318,2.629914045,2.756089864,1,0.595357347
319,2.148544415,2.635578191,1,0.815218806
320,1.48787691,2.77014486,1,0.619914936
321,1.499777441,2.848549208,1,0.550226596
322,2.394736758,2.91728912,1,0.627556702
323,2.223259589,2.537853154,1,1.725119035
324,1.228521827,2.705323631,1,0.548976991
325,0.980110358,3.153213901,1,1.038503313
326,0.999722584,2.791046808,1,0.545058702
327,1.455266847,2.593101254,1,0.612748039
328,0.873580167,2.82202612,1,0.518815264
329,1.297853215,2.741451854,1,0.611595596
330,1.634936766,2.780663812,1,0.846316089
331,1.166271564,2.911659014,1,0.547004539
332,2.604764054,2.795183717,1,0.556765267
333,1.160362842,2.903962787,1,0.731761852
334,2.033611407,2.76213233,1,0.867968925
335,0.739900535,2.828812807,1,0.862332523
336,2.378042749,2.802446004,1,0.651890927
337,1.696239026,2.806823036,1,0.494417444
338,1.57622045,2.859718931,1,0.718595999
339,0.929126656,2.762943126,1,0.705673009
340,1.484490997,2.814677717,1,0.675364009
341,0.883413688,2.905148857,1,0.510267538
342,2.017753318,2.767346098,1,0.602925088
343,1.507192542,2.773066825,1,0.700969258
344,1.310933516,2.792412034,1,0.607577614
345,1.934308867,2.810867908,1,0.657178356
346,1.558516357,2.846832243,1,0.738790196
347,1.710533303,2.717842891,1,0.72693555
348,2.593724775,2.850025511,1,2.226578492
349,1.585035743,2.87637826,1,0.569385275
350,1.818890444,2.746978689,1,0.709875567
351,1.060233612,2.783279115,1,0.917969643
352,2.792109309,2.76363511,0,0.536237005
353,1.57166549,2.725815789,1,0.518936769
354,1.626744128,2.731037139,1,2.631271312
355,1.188484966,2.955175106,1,2.412302816
356,1.355781071,2.66890287,1,1.067997601
357,2.242062111,2.838358232,1,1.223809474
358,2.24475376,2.918338955,1,1.020642957
359,1.819830025,2.737702582,1,0.953769069
360,2.583308586,2.716343784,1,0.684716004
361,1.571704815,2.84179797,1,1.107954334
362,1.370921293,2.780546323,1,0.751053518
363,2.627155535,2.857172088,1,0.518568843
364,0.375699941,2.886357373,1,0.747334533
365,1.603150131,2.764596914,1,0.660792627
366,1.589347385,2.853230841,1,0.976065864
367,1.922829824,2.724582591,1,1.948092528
368,0.870607984,2.780946433,1,0.84368646
369,1.544768244,2.76396007,1,0.77314886
370,1.377246692,2.846525232,1,1.023984574
371,0.864945311,2.765833347,1,0.745433743
372,0.655872781,2.79314461,1,0.919043553
373,2.137281582,2.872674505,1,0.643692216
374,1.742201595,2.695489745,1,0.574476276
375,1.136516348,2.786840422,1,0.946341551
376,1.436611941,2.667050159,1,0.691485557
377,1.76569585,2.7062406,1,0.776897438
378,0.855167778,2.777564999,1,0.632433796
379,1.376832891,2.612243536,1,1.123062732
380,1.2203166,2.768335654,1,0.58813463
381,0.914393518,2.781658328,1,0.539048472
382,3.016861233,2.803590753,0,0.716116097
383,2.132724083,2.779831913,1,0.778244765
384,1.966466691,2.914858906,1,1.361538112
385,2.702923061,2.71913528,1,0.539661394
386,1.544147503,2.900454142,1,0.779005724
387,1.692067645,2.789750475,1,0.583627681
388,2.650428119,2.753168721,1,0.701753389
389,1.838553694,2.922856818,1,0.792716194
390,2.197292941,2.75082866,1,0.6420767
391,1.899793296,2.881460662,1,0.730459479
392,1.813085809,2.914376554,1,1.940747939
393,2.814805949,2.84593604,1,0.861004568
394,1.630164663,2.859505228,1,1.10563785
395,1.080577977,2.904033369,1,0.803682977
396,0.806266315,2.860816266,1,1.082047277
397,1.607007076,2.738182413,1,2.331065936
398,2.207088052,2.829681068,1,0.523295346
399,1.163946223,2.891018199,1,0.567376409
400,3.031858947,2.848591134,0,0.583602496
401,1.437507825,2.721261319,1,0.60736912
402,3.129111375,2.853287138,0,1.054578193
403,1.693973548,2.85572073,1,0.742440408
404,0.842081928,2.809889413,1,0.655056555
405,1.802103544,2.803996064,1,0.629138795
406,2.586421002,2.756151478,1,0.680748354
407,1.475097477,2.829794775,1,0.632383107
408,1.19601264,2.618785324,1,0.743529533
409,1.914248974,2.73038876,1,0.878018075
410,2.565673402,2.818378542,1,0.484176867
411,1.744514471,2.745268109,1,0.646463257
412,0.875316512,2.673197137,1,0.659451897
413,1.421092739,2.997038681,1,0.763083942
