i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
124.0,10.0,0.09433962264150944,1.2440337949291091,1.1899999999999995,0.059825457397437276,1.5821321753870652,0.0,0.021505376344086023,0.0,1.0,0.0,1.0,0.0,0.16129032258064516,0.06451612903225806,0.0,0.0,0.0,0.008567765778825013,1.1858109727015251,0.12200822173321106,52.0,0.309327973624457
125.0,34.0,0.3269230769230769,2.6770529769323157,2.42,0.2583482643298538,0.039176604057821564,0.0,0.02857142857142857,0.0,1.0,0.0,1.0,0.0,0.6142857142857143,0.6142857142857143,0.0,0.014285714285714285,0.125,0.006985359263388781,2.4174277333527776,0.2498744775007083,77.0,1.527497013583829
126.0,61.0,0.5865384615384616,5.337111341099217,5.1899999999999995,0.14480381367788553,-0.34649870807303257,0.0,0.09302325581395349,0.0,1.0,0.0,1.0,0.0,0.20930232558139536,0.20930232558139536,0.0,0.0,0.03389830508474576,0.006032561941959536,5.192852833640188,0.12045785018966611,72.0,2.8262825572610866
127.0,34.0,0.3269230769230769,3.483230520936456,3.33,0.15199601032938048,1.930423851706296,0.0,0.04285714285714286,0.0,1.0,0.0,1.0,0.03125,0.2857142857142857,0.17142857142857143,0.03125,0.014285714285714285,0.03125,0.007171903886313478,3.331512083095722,0.2456050165021783,42.0,1.509651596180484
128.0,68.0,0.6538461538461539,6.175366297726463,6.109999999999999,0.06331894064260624,0.4079250021343511,0.0,0.15384615384615385,0.0,1.0,0.0,1.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.05128205128205128,0.09523809523809523,0.007254896254024381,6.111099812966194,0.1403538826344968,31.0,3.3266721324542137
129.0,20.0,0.19047619047619047,2.418425235799585,2.24,0.18000815287872385,0.603868159486305,0.0,0.07142857142857142,0.0,1.0,0.0,1.0,0.0,0.17857142857142858,0.09523809523809523,0.0,0.0,0.0,0.0053769765871484404,2.2392000278575366,0.08218841510925497,86.0,0.7430967201301385
130.0,75.0,0.7142857142857143,5.661632272406006,5.630000000000001,0.03255091712041036,0.3702880714863378,0.0,1.0,0.013888888888888888,1.0,0.013888888888888888,1.0,0.0,0.13333333333333333,0.1,0.0,0.0,0.05555555555555555,0.005370386262964238,5.630716966015672,0.17682933388460084,77.0,3.147446948046442
131.0,64.0,0.6095238095238096,6.702756821851598,6.620000000000001,0.0809691386188689,0.3242640050945093,0.0,0.1590909090909091,0.0,1.0,0.0,1.0,0.0,0.18181818181818182,0.1590909090909091,0.0,0.022727272727272728,0.034482758620689655,0.005738319542754715,6.6217698768236275,0.10618919966196386,60.0,2.756226638999711
132.0,38.0,0.3619047619047619,3.670080090354229,3.5999999999999996,0.07175682708860265,-0.2282962695932004,0.0,0.08695652173913043,0.0,1.0,0.0,1.0,0.0,0.043478260869565216,0.028985507246376812,0.0,0.014492753623188406,0.030303030303030304,0.006764483857316034,3.599215424782868,0.1631385159652838,37.0,1.5474680017032147
133.0,9.0,0.08571428571428572,3.8986020841733513,3.789999999999999,0.11229027117816416,-0.5919897979007785,0.0,0.08333333333333333,0.0,1.0,0.0,1.0,0.0,0.14583333333333334,0.041666666666666664,0.0,0.020833333333333332,0.0,0.007201593394255458,3.7859893495953916,0.0958469774486506,63.0,0.6262479490309113
