i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
152.0,2.5152194225938658,3.0999999999999996,1.0,0.0,True
153.0,0.6775587919631079,0.6199999999999992,1.0,0.0,True
154.0,5.11241791250454,5.1899999999999995,1.0,0.0,True
155.0,0.6826108818256955,1.4100000000000001,1.0,0.0,True
156.0,5.1146805925881225,5.449999999999999,1.0,0.0,True
157.0,3.6145866310277697,3.539999999999999,1.0,0.0,True
158.0,1.9720065963659368,1.9800000000000004,1.0,0.0,True
159.0,1.5353133181214955,1.5199999999999996,1.0,0.0,True
160.0,2.8541487556594594,2.99,1.0,0.0,True
161.0,3.1332363372843943,3.210000000000001,1.0,0.0,True
162.0,3.505816827394895,3.4299999999999997,1.0,0.0,True
163.0,3.982826707757909,4.18,1.0,0.0,True
164.0,6.052739368672363,6.460000000000001,1.0,0.0,True
165.0,1.936860347299799,1.9700000000000006,1.0,0.0,True
166.0,6.210673402356704,5.359999999999999,1.0,0.0,True
167.0,4.751883777396543,4.359999999999999,1.0,0.0,True
168.0,2.110408925973239,2.119999999999999,1.0,0.0,True
169.0,5.718615213275022,5.880000000000001,1.0,0.0,True
170.0,5.921021137633567,5.380000000000001,1.0,0.0,True
171.0,4.6516960191739605,4.359999999999999,1.0,0.0,True
172.0,0.42717454143210176,0.2699999999999996,0.968,0.03200000000000003,True
173.0,3.948261975771551,4.039999999999999,1.0,0.0,True
174.0,0.5631502185107209,0.4299999999999997,0.994,0.006000000000000005,True
175.0,5.545674804284062,6.260000000000002,1.0,0.0,True
176.0,5.361104755620474,5.119999999999999,1.0,0.0,True
177.0,6.5837545273586775,6.57,1.0,0.0,True
178.0,-0.10330032500525023,0.33000000000000007,0.998,0.0020000000000000018,True
179.0,3.9310823348680586,3.6400000000000006,1.0,0.0,True
180.0,5.888100490916821,5.66,1.0,0.0,True
181.0,6.500176700316082,6.530000000000001,1.0,0.0,True
182.0,2.5009456667593284,1.0199999999999996,0.96,0.040000000000000036,True
183.0,0.9845875387521731,1.92,1.0,0.0,True
184.0,1.959748877677761,1.6500000000000004,1.0,0.0,True
185.0,0.3623218115108173,0.15000000000000036,0.896,0.10399999999999998,False
186.0,1.2936803413916849,1.8900000000000006,1.0,0.0,True
187.0,5.537379013525238,5.41,1.0,0.0,True
188.0,3.0623671166807256,3.210000000000001,1.0,0.0,True
189.0,3.1617828719401686,3.4299999999999997,1.0,0.0,True
190.0,3.5021987308587583,2.9000000000000004,1.0,0.0,True
191.0,7.437668357577465,7.23,1.0,0.0,True
192.0,2.6865612106461114,2.9800000000000004,1.0,0.0,True
193.0,0.25904086008131344,0.05000000000000071,0.674,0.32599999999999996,False
194.0,6.253636184460389,6.050000000000001,1.0,0.0,True
195.0,1.860859792950258,2.1799999999999997,1.0,0.0,True
196.0,4.188052439594976,4.6,1.0,0.0,True
197.0,2.5721765893801773,1.8699999999999992,0.976,0.02400000000000002,True
198.0,2.3768077782888923,2.6999999999999993,1.0,0.0,True
199.0,2.2746924742979293,2.25,1.0,0.0,True
200.0,3.210141490977378,3.67,1.0,0.0,True
201.0,4.492535303871165,4.4399999999999995,1.0,0.0,True
