,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
77,Alistipes,125,113,0.8445945945945946,0.7847222222222222,0.001441500109863443
78,Neisseria,11,1,0.07432432432432433,0.006944444444444444,0.0
79,Acinetobacter,45,17,0.30405405405405406,0.11805555555555555,0.0
80,Rummeliibacillus,2,0,0.013513513513513514,0.0,0.0
81,Hungatella,89,81,0.6013513513513513,0.5625,4.901124999809046e-05
82,Acetatifactor,20,0,0.13513513513513514,0.0,0.0
83,Allobaculum,32,0,0.21621621621621623,0.0,0.0
84,Cetobacterium,3,4,0.02027027027027027,0.027777777777777776,0.0
85,Lachnospiracea_incertae_sedis,147,139,0.9932432432432432,0.9652777777777778,0.03450327805242928
86,Pelomonas,20,12,0.13513513513513514,0.08333333333333333,0.0
87,Helicobacter,34,0,0.22972972972972974,0.0,0.0
88,Actinomyces,127,89,0.8581081081081081,0.6180555555555556,0.0002090279299905781
89,Staphylococcus,30,9,0.20270270270270271,0.0625,0.0
90,Oscillibacter,133,116,0.8986486486486487,0.8055555555555556,0.0012503057249721112
91,Microbacterium,3,2,0.02027027027027027,0.013888888888888888,0.0
92,Citrobacter,77,50,0.5202702702702703,0.3472222222222222,2.8542990001861027e-05
93,Arcanobacterium,0,0,0.0,0.0,0
94,Gordonibacter,57,61,0.38513513513513514,0.4236111111111111,0.0
95,Obesumbacterium,3,0,0.02027027027027027,0.0,0.0
96,Caulobacter,16,16,0.10810810810810811,0.1111111111111111,0.0
97,Eubacterium,145,135,0.9797297297297297,0.9375,0.005934177180059459
98,Plesiomonas,5,3,0.033783783783783786,0.020833333333333332,0.0
99,Acetanaerobacterium,62,48,0.4189189189189189,0.3333333333333333,0.0
100,Veillonella,121,90,0.8175675675675675,0.625,0.0001768376900016694
101,Stenotrophomonas,28,0,0.1891891891891892,0.0,0.0
102,Enterorhabdus,3,1,0.02027027027027027,0.006944444444444444,0.0
103,Clostridium_sensu_stricto,131,105,0.8851351351351351,0.7291666666666666,0.0006563551750630311
104,Campylobacter,17,24,0.11486486486486487,0.16666666666666666,0.0
105,Anaerosalibacter,11,0,0.07432432432432433,0.0,0.0
106,Blautia,148,139,1.0,0.9652777777777778,0.012431527326055028
107,Finegoldia,25,16,0.16891891891891891,0.1111111111111111,0.0
108,Buttiauxella,18,0,0.12162162162162163,0.0,0.0
