"","taxon","mean.difference (yCRC(Fudan cohort) - yControl(Fudan cohort))","se (yCRC(Fudan cohort) - yControl(Fudan cohort))","W","p.val","q.val","diff.abn"
"59","Staphylococcus",-0.404035885156385,0,Inf,0,0,TRUE
"60","Oscillibacter",0.26534617457008,0.251725066640336,1.05411105104287,0.29183207720416,1,FALSE
"61","Citrobacter",0.00322166487574826,0.143530997827195,0.0224457777380396,0.982092364183333,1,FALSE
"62","Gordonibacter",0.0150914329721469,0.129966874316446,0.116117534191074,0.907559392540397,1,FALSE
"63","Caulobacter",0.13422264820363,0.0874420127719792,1.53499037760762,0.12478619166324,1,FALSE
"64","Eubacterium",-1.11262983384891,0.194993240221601,-5.70599182097009,1.15667552809478e-08,1.35331036787089e-06,TRUE
"65","Acetanaerobacterium",0.086276606241408,0.206847031559292,0.417103429481302,0.676602756566305,1,FALSE
"66","Veillonella",-0.717802001944477,0.174910554812046,-4.103823252495,4.0637797438169e-05,0.00475462230026577,TRUE
"67","Clostridium_sensu_stricto",-0.89281920121758,0.206130973359104,-4.33131996937785,1.48218108580887e-05,0.00173415187039638,TRUE
"68","Campylobacter",0.302670592115824,0.0855869618478784,3.53641005102843,0.000405604597232454,0.0474557378761971,TRUE
"69","Blautia",-1.12852585218659,0.17076448163401,-6.60866850874354,3.87791960999453e-11,4.5371659436936e-09,TRUE
"70","Finegoldia",0.0414566096225946,0.098870601384862,0.41930168363416,0.674995666276479,1,FALSE
"71","Escherichia.Shigella",-1.04043206441024,0.283617121388735,-3.66843884218186,0.000244036051661649,0.0285522180444129,TRUE
"72","Devosia",0.0859422261044958,0.109939177422674,0.781725205875255,0.43437608507666,1,FALSE
"73","Alloprevotella",0.524835330456984,0.164371746513362,3.19297775676016,0.0014081379288417,0.164752137674479,FALSE
"74","Methyloversatilis",0.0656794930142125,0.0910650448198162,0.721237145868295,0.470763621068495,1,FALSE
"75","Porphyromonas",0.772585862414441,0.16468545910602,4.69128158981585,2.71498997880347e-06,0.000317653827520006,TRUE
"76","Bifidobacterium",-0.00978790238846017,0.324575761640158,-0.0301559868149106,0.975942649986215,1,FALSE
"77","Intestinimonas",0.245193458938195,0.169192619578462,1.44919713134702,0.14728253842912,1,FALSE
"78","Intestinibacter",-0.336174846852095,0.180363172939189,-1.86387742782413,0.0623389192312695,1,FALSE
"79","Oribacterium",-0.0550121728167087,0.0815857550164724,-0.67428649530303,0.500129188140916,1,FALSE
"80","Flavonifractor",-0.0413125652023032,0.184866718506423,-0.223472161652872,0.823168047088564,1,FALSE
"81","Megamonas",-0.831659625327077,0.342701493175406,-2.42677561052063,0.0152336745796616,1,FALSE
"82","Terrisporobacter",0.202753189029403,0.135456464638035,1.49681441613877,0.13444155411208,1,FALSE
"83","Stomatobaculum",-0.00430474971040715,0.0814022123927029,-0.0528824657693583,0.957825555134729,1,FALSE
"84","Gemmiger",-0.954179003752373,0.309451743870762,-3.08345007792514,0.00204615437227949,0.2394000615567,FALSE
"85","Turicibacter",-0.160550876878323,0.19649161283852,-0.817087684095027,0.413878320639201,1,FALSE
"86","Barnesiella",-0.295832330086889,0.218317853446144,-1.35505331065316,0.175400572613069,1,FALSE
"87","Eisenbergiella",0.53777070353008,0.169426907662903,3.17405724361117,0.00150324040660247,0.175879127572489,FALSE
"88","Christensenella",0.116361103707434,0.0763560893546864,1.52392696759152,0.127526955982336,1,FALSE
"89","Odoribacter",0.233827826618418,0.182939028430806,1.27817354571148,0.201188241591008,1,FALSE
"90","Mogibacterium",0.0104747731844811,0.100548352724046,0.104176477293756,0.917029300786235,1,FALSE
"91","Hydrogenoanaerobacterium",0.150818232841138,0.0664461753008626,2.26978049764709,0.023220904430113,1,FALSE
"92","Bilophila",-0.122159658082301,0.198594212284234,-0.615121944779852,0.538474190652852,1,FALSE
"93","Cronobacter",0.715228749172683,0.197365244501588,3.62388398716739,0.000290211818672652,0.0339547827847003,TRUE
"94","Allisonella",-0.366279033131766,0.190899497506623,-1.91870087619826,0.0550222005703435,1,FALSE
"95","Eggerthella",-0.253032504219187,0.208965605311599,-1.21088111051518,0.225940973099704,1,FALSE
"96","Granulicatella",-0.484266677637264,0.138091184258996,-3.50686164533864,0.000453424835045426,0.0530507057003148,FALSE
"97","Klebsiella",-0.862381782598995,0.284697185746376,-3.02911944962903,0.00245267686745176,0.286963193491856,FALSE
"98","Streptococcus",-0.992577143965249,0.219945551575199,-4.51283118415736,6.39679369207436e-06,0.0007484248619727,TRUE
"99","Brevundimonas",-0.490107856535559,0.184166743001579,-2.66121802746632,0.00778585231912752,0.91094472133792,FALSE
"100","Anaerofilum",-0.132931782384566,0.101207187540601,-1.31346187573129,0.189027359349835,1,FALSE
"101","Desulfovibrio",-0.0767248018931623,0.21468874812577,-0.357376912218124,0.720809658466611,1,FALSE
"102","Paraprevotella",0.0167693136792233,0.2078083558772,0.080696050976568,0.935683677440083,1,FALSE
"103","Faecalibacterium",-0.946459265269564,0.296459227629572,-3.19254446163562,0.00141025231818835,0.164999521228037,FALSE
"104","Clostridium_XlVa",-0.147690280414432,0.168884583862786,-0.874504214869171,0.381843725861274,1,FALSE
